Apparel ID,Apparel Name,Image Assets,Image URLs,Type,Age Range,Size,Cloth Material,Prize Range,Top Wear or bottom Wear,Texture,Gender,Colour,Cloth Sleeves,Events,Matching Body Type,Matching Face Type,Skin tone Matching,Undertone Matching
APRL_001,Printed Kurta Tunic,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_001/image_1.jpg,traditional,Adults,Standard,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Lace trim, Matte",female,"Grey, Off-white",3/4 sleeves,"casual, party, wedding","pear, apple, hourglass","oval, round","light, tan",neutral
APRL_002,Men's Kurta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_002/image_1.jpg,traditional,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",male,Black,full sleeves,"casual, party, wedding, formal, seasonal","rectangle, inverted triangle, apple","oval, round, square","dark, olive",neutral
APRL_003,Men's Printed Kurta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_003/image_1.jpg,traditional,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Matte",male,"Blue, White",full sleeves,"casual, seasonal, party, vacation","rectangle, inverted triangle, apple","oval, round, square","fair, olive",warm
APRL_004,Men's Printed Kurta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_004/image_1.jpg,traditional,Adults,L,Silk Blend,Mid-Range,Top wear,"Shiny fabric, Metallic print",male,"Red, Gold",full sleeves,"party, wedding, formal, seasonal","rectangle, inverted triangle, apple","oval, round, square","tan, olive",warm
APRL_005,Men's Printed Kurta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_005/image_1.jpg,traditional,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Matte, Textured",male,"Green, Blue, Purple, White",full sleeves,"casual, seasonal, party, vacation","rectangle, apple, inverted triangle","oval, diamond","fair, dark",neutral
APRL_006,Men's Polo,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_006/image_1.jpg,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth",male,"Cream, Brown",Short sleeves,"casual, seasonal, vacation, business","rectangle, Inverted Triangle, oval","oval, square, rectangle","Tan, Light",Warm
APRL_007,Men's Henley Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_007/image_1.jpg,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Ribbed collar",male,"Grey, Red, White, Navy Blue",full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple","round, square, oval","fair, dark",neutral
APRL_008,Women's T-Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_008/image_1.jpg,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,Smooth knit,female,Green,Short sleeves,"casual, seasonal, vacation, party","rectangle, hourglass, pear","oval, round, square","fair, olive",warm
APRL_009,Women's Fitted Tee,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_009/image_1.jpg,Basic T-shirt,Adults,M,Cotton Knit,Mid-Range,Top wear,"Ribbed knit, Smooth",female,Black,Short sleeves,"casual, seasonal, vacation, party","hourglass, pear, rectangle","oval, round, square","Fair, Dark",Neutral
APRL_010,Men's Dress Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/APRL_010/image_1.jpg,"Formal Shirt",Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",male,Purple,full sleeves,"business, formal, party, wedding","rectangle, inverted triangle, apple","oval, round, square","dark, fair",warm
