Apparel ID,apparel name,type,age range,size,Cloth material,Prize Range,Top wear/bottom wear/,texture,Gender,Colour,Cloth sleeves,Events,matching body type,matching face type,Skin tone Matching,Undertone Matching
APRL_093,Women's Open Front Coatigan,Trench Coat,Adults,M,Knit Blend,Mid-Range,Top wear,"Knit, Textured, Open front",Female,Light Grey,Full sleeves,"casual, seasonal, business","rectangle, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_094,Women's Textured Coat,Trench Coat,Adults,M,Bouclé/Textured Blend,High-Range,Top wear,"Textured, Bouclé, Matte",Female,Red,Full sleeves,"party, formal, seasonal, wedding","rectangle, inverted triangle, hourglass","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_095,Men's Bomber Jacket,Trench Coat,Adults,L,Poly Blend,Mid-Range,Top wear,"Smooth, Matte, Ribbed cuffs/hem",Male,Red,Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_096,Men's Faux Suede Bomber Jacket,Bomber Jacket,Adults,L,Faux Suede,Mid-Range,Top wear,"Textured (Suede-like), Matte, Ribbed cuffs/hem",Male,Navy Blue,Full sleeves,"casual, seasonal, party","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_097,Women's Windbreaker Jacket,Bomber Jacket,Adults,M,Poly Blend,Mid-Range,Top wear,"Smooth, Matte, Lightweight, Hooded, Color block",Female,"Black, Grey, Pink, White",Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_098,Men's Bomber Jacket,Bomber Jacket,Adults,L,Poly Blend,Mid-Range,Top wear,"Smooth, Matte, Ribbed collar/cuffs/hem",Male,White,Full sleeves,"casual, seasonal, vacation, party","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_099,Girls' Zip-Up Hoodie,Hoodie,Kids,M,Cotton Blend,Low-Range,Top wear,"Knit, Soft, Hooded, Printed text",Female,Light Pink,Full sleeves,"casual, seasonal","rectangle, pear, apple, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_100,Men's Track Jacket,Hoodie,Adults,L,Cotton Blend,Mid-Range,Top wear,"Knit, Matte, Zipper front, Logo detail",Male,Olive Green,Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_101,Men's Zip-Up Hoodie,Hoodie,Adults,L,Cotton Blend,Mid-Range,Top wear,"Knit, Soft, Hooded, Zipper front",Male,Black,Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_102,Men's Pullover Hoodie,Hoodie,Adults,L,Cotton Blend,Mid-Range,Top wear,"Knit, Soft, Hooded, Kangaroo pocket, Graphic print",Male,Khaki/Tan,Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_103,Men's Pullover Hoodie,Hoodie,Adults,L,Cotton Blend,Mid-Range,Top wear,"Knit, Soft, Hooded, Kangaroo pocket, Contrast stitching",Male,Maroon/Burgundy,Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_104,Kids' Zip-Up Hoodie,Hoodie,Kids,M,Cotton Blend,Low-Range,Top wear,"Knit, Soft, Hooded, Zipper front, Graphic print",Unisex,"Yellow, Navy Blue",Full sleeves,"casual, seasonal","rectangle, pear, apple, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_105,Men's Pullover Hoodie,Hoodie,Adults,L,Cotton Blend,Mid-Range,Top wear,"Knit, Soft, Hooded",Male,Light Grey,Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
