Apparel ID,apparel name,type,age range,size,Cloth material,Prize Range,Top wear/bottom wear/,texture,Gender,Colour,Cloth sleeves,Events,matching body type,matching face type,Skin tone Matching,Undertone Matching
APRL_001,Printed Kurta Tunic,traditional,Adults,Standard,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Lace trim, Matte",Female,"Grey, Off-white",3/4 sleeves,"Casual, Semi-Formal, Daytime, Cultural","rectangle, pear, apple, hourglass, inverted triangle","oval, round, square","ebony, dark, tan, olive, fair, light","neutral, cool, warm"
APRL_002,Men's Kurta,traditional,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,Black,Full sleeves,"casual, party, wedding, formal, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_003,Men's Printed Kurta,traditional,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Matte",Male,"Blue, White",Full sleeves,"casual, seasonal, party, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_004,Men's Printed Kurta,traditional,Adults,L,Silk Blend,Mid-Range,Top wear,"Shiny fabric, Metallic print",Male,"Red, Gold",Full sleeves,"party, wedding, formal, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_005,Men's Printed Kurta,traditional,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Matte, Textured",Male,"Green, Blue, Purple, White",Full sleeves,"casual, seasonal, party, vacation","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_006,Men's Polo,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth",Male,"Cream, Brown",Short sleeves,"casual, seasonal, vacation, business","rectangle, inverted triangle, apple","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_007,Men's Henley Shirt,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Ribbed collar",Male,"Grey, Red, White, Navy Blue",Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_008,Women's T-Shirt,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,Smooth knit,Female,Green,Short sleeves,"casual, seasonal, vacation, party","rectangle, pear, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_009,Women's Fitted Tee,Basic T-shirt,Adults,M,Cotton Knit,Mid-Range,Top wear,"Ribbed knit, Smooth",Female,Black,Short sleeves,"casual, seasonal, vacation, party","rectangle, hourglass, pear, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_010,Men's Dress Shirt,"Formal Shirt
",Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",Male,Purple,Full sleeves,"business, formal, party, wedding","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular, heart, diamond","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_011,Men's Striped Shirt,Formal Shirt,Adults,L,Cotton Blend,Mid-Range,Top wear,"Striped, Smooth",Male,"Blue, White",Short sleeves,"business, casual, vacation","rectangle, inverted triangle, pear","oval, round, square, rectangular, heart, diamond","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_012,Men's Check Dress Shirt,Formal Shirt,Adults,L,Cotton Blend,Mid-Range,Top wear,"Woven, Check pattern, Smooth",Male,"White, Light Blue",Full sleeves,"business, formal, wedding","rectangle, inverted triangle, pear","oval, round, square, rectangular, heart, diamond","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_013,Women's White Shirt,Formal Shirt,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",Female,White,Full sleeves,"business, casual, formal, party","hourglass, inverted triangle, rectangle, pear, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_014,Women's Shirt,Formal Shirt,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",Female,Maroon/Burgundy,Full sleeves,"business, formal, casual, party","rectangle, hourglass, pear, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_015,Men's Solid Shirt,Formal Shirt,Adults,M,Cotton Blend (Smooth),Mid-Range,Top wear,"Smooth, Woven, Matte",Male,Dark Grey,Full sleeves,"business, casual, formal, party, seasonal","rectangle, inverted triangle, pear, hourglass","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_016,Women's Printed Tunic,Kurti,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Matte, Embroidery/Detailing",Female,"Red/Maroon, Yellow, Green, Blue, Black",3/4 sleeves,"casual, seasonal, vacation, party","apple, pear, rectangle, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_017,Women's Printed Tunic,Kurti,Adults,M,Viscose Blend,Mid-Range,Top wear,"Printed fabric, Stripes, Ruffles, Matte",Female,"Mustard Yellow, White",Short sleeves (ruffle),"casual, seasonal, vacation, party","apple, pear, rectangle, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_018,Women's Embroidered Tunic,Kurti,Adults,M,Cotton Blend,Mid-Range,Top wear,"Embroidered, Gathered, Flared sleeves, Matte",Female,"Navy Blue, Multicolored Embroidery","3/4 sleeves, Flared","casual, party, seasonal, vacation","rectangle, pear, apple, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_019,Women's Printed Sleeveless Top,Kurti,Adults,M,Viscose Blend (Printed),Mid-Range,Top wear,"Printed fabric, Matte, Patchwork print",Female,"Multicolored (Orange, Maroon, Grey)",Sleeveless,"casual, seasonal, vacation, party","rectangle, pear, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_020,Women's Ribbed Tank Top,Tank Top,Adults,M,Ribbed Knit,Low-Range,Top wear,"Ribbed knit, Fitted",Female,Lavender,Sleeveless,"casual, seasonal, vacation, party","rectangle, hourglass, inverted triangle, pear, apple","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
