Apparel ID,apparel name,type,age range,size,Cloth material,Prize Range,Top wear/bottom wear/,texture,Gender,Colour,Cloth sleeves,Events,matching body type,matching face type,Skin tone Matching,Undertone Matching
APRL_001,Printed Kurta Tunic,traditional,Adults,Standard,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Lace trim, Matte",Female,"Grey, Off-white",3/4 sleeves,"Casual, Semi-Formal, Daytime, Cultural","pear, apple, hourglass","oval, round","light, tan",neutral
APRL_002,Men's Kurta,traditional,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,Black,Full sleeves,"casual, party, wedding, formal, seasonal","rectangle, inverted triangle, apple","oval, round, square","dark, olive",neutral
APRL_003,Men's Printed Kurta,traditional,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric,Matte",Male,"Blue, White",Full sleeves,"casual, seasonal, party, vacation","rectangle, inverted triangle, apple","oval, round, square","fair, olive",warm
APRL_004,Men's Printed Kurta,traditional,Adults,L,Silk Blend,Mid-Range,Top wear,"Shiny fabric, Metallic print",Male,"Red, Gold",Full sleeves,"party, wedding, formal, seasonal","rectangle, inverted triangle, apple","oval, round, square","tan, olive",warm
APRL_005,Men's Printed Kurta,traditional,Adults,M,Cotton Blend,Mid-Range,Top wear,"Printed fabric, Matte, Textured",Male,"Green, Blue, Purple, White",Full sleeves,"casual, seasonal, party, vacation","rectangle, apple, inverted triangle","oval, diamond","fair, dark",neutral
APRL_006,Men's Polo,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Smooth",Male,"Cream, Brown",Short sleeves,"casual, seasonal, vacation, business","Rectangle, Inverted Triangle, Oval","Oval, Square, Rectangle","Tan, Light",Warm
APRL_007,Men's Henley Shirt,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,"Knit fabric, Ribbed collar",Male,"Grey, Red, White, Navy Blue",Full sleeves,"casual, seasonal, vacation","rectangle, inverted triangle, apple","round, square, oval","fair, dark",neutral
APRL_008,Women's T-Shirt,Basic T-shirt,Adults,L,Cotton Knit,Mid-Range,Top wear,Smooth knit,Female,Green,Short sleeves,"casual, seasonal, vacation, party","rectangle, hourglass, pear","Oval, Round, Square","fair, olive",warm
APRL_009,Women's Fitted Tee,Basic T-shirt,Adults,M,Cotton Knit,Mid-Range,Top wear,"Ribbed knit, Smooth",Female,Black,Short sleeves,"casual, seasonal, vacation, party","Hourglass, Pear, Rectangle","Oval, Round, Square","Fair, Dark",Neutral
APRL_010,Men's Dress Shirt,Formal Shirt,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth, Woven",Male,Purple,Full sleeves,"business, formal, party, wedding","rectangle, inverted triangle, apple","oval, round, square","dark, fair",warm
