filename,data
img_1_1.jpg,APRL_001,Women's Kurta Set,traditional,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery, Woven pattern",Female,"Pink, White",Full sleeves,"casual, festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","neutral, cool"
img_1_2.jpg,APRL_001,Embellished Velvet Caftan Robe,traditional,Adults,L,Velvet,Mid-Range,Full wear,"Soft, Plush Velvet, Sparkling Embellishments",Female,Green,Full sleeves,"Party, Formal, Festive, Special Occasion","pear, apple, inverted triangle, rectangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_1_3.jpg,APRL_003,Men's Checked Shirt,casual,,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Checked pattern",Male,"Dark Brown, Red, White",Three-quarter sleeves,"casual, smart casual, daily wear","rectangle, inverted triangle, apple","oval, round, square","fair, light, tan, olive","warm, neutral"
img_1.jpg,APRL_003,Men's Sherwani Set,traditional,,Adults,L,Silk Blend,Mid-Range,"Top wear, Bottom wear","Geometric print, Smooth fabric",Male,"White, Yellow",Full sleeves,"wedding, festive, party, ceremonial, formal","rectangle, pear, apple, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_6.jpg,APRL_001,Women's Modest Swimsuit,modest swimwear,Adults,M,Polyester Blend,Mid-Range,Swimwear set,"Smooth fabric, Floral embroidery on sleeves, Striped detail on legs",Female,Maroon,Full sleeves,"Swimming, Beach, Water sports, Vacation","rectangle, apple, pear","oval, round, heart","fair, light, tan, olive","warm, neutral, cool"
img_8.jpg,APRL_001,Modest Abaya with Niqab,Modest_Abaya_Niqab_Green.jpg,,Adults,L,Polyester Blend,Mid-Range,Top wear,"Smooth fabric, Flowy",Female,Dark Green,Full sleeves,"daily wear, religious ceremonies, formal events, modest outings","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_10.jpg,APRL_001,Women's Sharara Suit,traditional,N/A,Adults,N/A,Georgette Blend,Mid-Range,"Full Ensemble (Kurta, Sharara, Dupatta)","Smooth fabric, Intricate Embroidery, Embellished",Female,"Purple, Yellow, Pink",Full sleeves,"wedding, festive occasions, party, traditional","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_12.jpg,APRL_001,Men's Thobe/Kaftan,traditional,N/A,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,White,Half sleeves,"casual, party, wedding, formal, religious, festive","rectangle, apple, inverted triangle, pear","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_002,Men's Thobe/Kaftan,traditional,N/A,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,Grey,Half sleeves,"casual, party, wedding, formal, religious, festive","rectangle, apple, inverted triangle, pear","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_13.jpg,APRL_001,Kaftan Dress,contemporary print,N/A,Adults,Free Size,Satin Blend,Mid-Range,Dress,"Smooth fabric, Flowy, Abstract print",Female,"Cream, Orange, Purple, Yellow, Black, Green","Batwing sleeves, Elbow length","casual, resort, summer, party","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_14.jpg,APRL_001_TOP,Men's Bandhgala Jacket,traditional, formal,N/A,Adults,M,Silk Blend,Mid-Range,Top wear,"Textured fabric, Jacquard pattern, Structured",Male,Teal,Full sleeves,"wedding, party, formal, festive, traditional","rectangle, inverted triangle, apple","oval, rectangular, square","dark, tan, olive","neutral, warm"
APRL_001_BOTTOM,Men's Trousers,formal,N/A,Adults,M,Cotton Blend,Mid-Range,Bottom wear,Smooth fabric,Male,White,N/A,"wedding, party, formal, festive, traditional, casual","rectangle, inverted triangle, apple, pear",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_19.jpg,APRL_001,Women's Abaya,traditional,,Adults,Free Size,Polyester Blend,Mid-Range,Full-body wear,"Smooth fabric, Embroidery",Female,Maroon,Full sleeves,"casual, festive, religious","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","dark, tan, olive, light","warm, neutral"
img_22.jpg,APRL_001,Leopard Print Maxi Dress,leopard_print_maxi_dress_blue.jpg,,Adults,"S, M, L, XL",Chiffon blend,Mid-Range,Dress,"Smooth fabric, Animal print, Flowy",Female,"Blue, Black, White","Bell sleeves, Full sleeves","casual, party, holiday, resort wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_30.jpg,APRL_003,Women's Printed High-Neck Wide-Leg Pants Set,Abstract print,,Adults,M,Polyester Blend,Mid-Range,Co-ord Set,"Smooth fabric, Abstract print",Female,"White, Black print",Ruffled short sleeves,"casual, semi-formal, party, seasonal","hourglass, pear, apple, rectangle","oval, round, square, heart, diamond",ebony, dark, tan, olive, fair, light,warm, neutral, cool
img_34.jpg,APRL_003,Men's Nehru Jacket with Kurta,traditional,traditional,Adults,L,Silk Blend,Mid-Range,Top wear,"Raw silk texture for jacket, Smooth fabric with embroidery on cuffs for kurta",Male,"Peach, Black","Sleeveless (Jacket), Full sleeves (Kurta)","casual, party, wedding, festive, formal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","dark, tan, olive, fair, light","warm, neutral"
img_35.jpg,APRL_001,Women's Denim Abaya Cardigan with Hood,Modest wear,,Adults,Free Size,Denim Blend,Mid-Range,Top wear,"Smooth, Faded Denim",Female,"Navy Blue, Grey",Full sleeves,"casual, daily, travel","rectangle, apple, pear, inverted triangle, hourglass","oval, round, heart, square","fair, light, tan, olive, dark","cool, neutral"
